no	Year	Authors	Citation	publication	Score
27	1923	Born M, Heisenberg W. 	Die Elektronenbahnen im angeregten Heliumatom 	Zeitschrift FüR Physik. 16: 229-243. DOI: 10.1007/BF01327396	0.692
165	1933	Born M. 	Modified field equations with a finite radius of the electron 	Nature. 132: 282-282. DOI: 10.1038/132282A0	0.266
166	1933	Born M, Infeld L. 	Foundations of the New Field Theory 	Nature. 132: 1004-1004. DOI: 10.1038/1321004B0	0.266
167	1933	Born M, Flügge S. 	Zur Quantenmechanik des Zweiatomsystems 	Annalen Der Physik. 408: 768-780. DOI: 10.1002/Andp.19334080704	0.266
168	1932	Born M. 	Geometrische und undulatorische Abbildungsfehler der optischen Instrumente 	Die Naturwissenschaften. 20: 921-923. DOI: 10.1007/BF01504700	0.266
169	1932	Born M. 	Eine Bemerkung über den Elektronenradius 	Die Naturwissenschaften. 20: 269. DOI: 10.1007/BF01504484	0.266
170	1932	Born M. 	Zur Deutung der ultravioletten Absorptionsbanden der Alkalihalogenide 	Zeitschrift FüR Physik. 79: 62-68. DOI: 10.1007/BF01349501	0.266
171	1932	Born M. 	Die ultraroten Eigenfrequenzen der Alkalihalogenidkristalle 	Zeitschrift FüR Physik. 76: 559-560. DOI: 10.1007/BF01336737	0.266
172	1931	Born M. 	Ansätze zur Quantenelektrodynamik 	Zeitschrift FüR Physik. 69: 141-152. DOI: 10.1007/BF01798119	0.266
173	1930	Born M. 	The Quantum Theory of Chemical Valence. 	Nature. 126: 205-205. DOI: 10.1038/126205D0	0.266
174	1930	Born M. 	Zur Quantentheorie der chemischen Kräfte 	Zeitschrift FüR Physik. 65: 718. DOI: 10.1007/BF01391171	0.266
175	1929	Born M. 	Über den Sinn der physikalischen Theorien 	Die Naturwissenschaften. 17: 109-118. DOI: 10.1007/BF01506413	0.266
176	1929	Born M. 	Zur Theorie des Kernzerfalls 	Zeitschrift FüR Physik. 58: 306-321. DOI: 10.1007/BF01340382	0.266
177	1928	Born M. 	Sommerfeld als Begründer einer Schule 	Die Naturwissenschaften. 16: 1035-1036. DOI: 10.1007/BF01506817	0.266
178	1928	Born M, Fock V. 	Beweis des Adiabatensatzes 	Zeitschrift FüR Physik. 51: 165-180. DOI: 10.1007/BF01343193	0.266
179	1927	Fowler RH, Born M, Fisher JW, Hartree DR. 	The Mechanics of the Atom 	The Mathematical Gazette. 13: 428. DOI: 10.2307/3602769	0.266
180	1927	Born M. 	Physical aspects of quantum mechanics 	Nature. 119: 354-357. DOI: 10.1038/119354A0	0.266
181	1927	Born M. 	Quantenmechanik und Statistik 	Die Naturwissenschaften. 15: 238-242. DOI: 10.1007/BF01504193	0.266
182	1927	Born M. 	Das Adiabatenprinzip in der Quantenmechanik 	Zeitschrift FüR Physik. 40: 167-192. DOI: 10.1007/BF01400360	0.266
183	1926	Born M. 	Zur Quantenmechanik der Stoßvorgänge 	Zeitschrift FüR Physik. 37: 863-867. DOI: 10.1007/BF01397477	0.266
184	1926	Born M. 	Quantenmechanik der Stoßvorgänge 	Zeitschrift FüR Physik. 38: 803-827. DOI: 10.1007/BF01397184	0.266
185	1926	Born M. 	Probleme der Atomdynamik 	The Mathematical Gazette. 13: 256. DOI: 10.1007/978-3-642-99600-9	0.266
186	1925	Piaggio HTH, Born M, Brose HL, Jeffery GB, Henderson A, Hobbs AW, join( JWL. 	Einstein's Theory of Relativity 	The Mathematical Gazette. 12: 395. DOI: 10.2307/3604225	0.266
187	1925	Born M, Franck J. 	Quantentheorie und Molekelbildung 	Zeitschrift FüR Physik. 31: 411-429. DOI: 10.1007/BF02980594	0.266
188	1925	Born M, Jordan P, Nordheim L. 	Zur Theorie der Stoßanregung von Atomen und Molekülen 	Naturwissenschaften. 13: 969-970. DOI: 10.1007/Bf01559163	0.266
189	1925	Born M, Bollnow OF. 	Zur Gittertheorie des Rutils 	Die Naturwissenschaften. 13: 559. DOI: 10.1007/BF01558712	0.266
190	1924	Born M. 	Die chemische Bindung als dynamisches Problem 	Die Naturwissenschaften. 12: 1199-1207. DOI: 10.1007/BF01506888	0.266
191	1923	Born M. 	Quantentheorie und Störungsrechnung 	Die Naturwissenschaften. 11: 537-542. DOI: 10.1007/BF01554348	0.266
192	1922	Born M. 	Hilbert und die Physik 	Die Naturwissenschaften. 10: 88-93. DOI: 10.1007/BF01591619	0.266
193	1921	Born M. 	Zur Thermodynamik der Kristallgitter 	Zeitschrift FüR Physik. 7: 217-248. DOI: 10.1007/BF01332792	0.266
194	1921	Born M. 	Über elektrostatische. Gitterpotentiale 	Zeitschrift FüR Physik. 7: 124-140. DOI: 10.1007/BF01332783	0.266
298	1933	Born M, Blackman M. 	Über die Feinstruktur der Reststrahlen 	Zeitschrift FüR Physik. 82: 551-558. DOI: 10.1007/BF01338328	0.12
