no	Year	Authors	Citation	publication	Score
51	1926	Debye P. 	Bemerkung zu einigen neuen Versuchen über einen magneto-elektrischen Richteffekt 	European Physical Journal. 36: 300-301. DOI: 10.1007/Bf01557844	0.263
52	1926	Debye P. 	Einige Bemerkungen zur Magnetisierung bei tiefer Temperatur 	Annalen Der Physik. 386: 1154-1160. DOI: 10.1002/Andp.19263862517	0.263
53	1925	Debye P. 	Note on the Scattering of X-rays 	Journal of Mathematics and Physics. 4: 133-147. DOI: 10.1002/Sapm192541133	0.263
54	1922	Debye P. 	Laue-Interferenzen und Atombau 	Naturwissenschaften. 10: 384-391. DOI: 10.1007/Bf01565293	0.263
81	1930	Debye P. 	Interference measurements with single molecules 	Proceedings of the Physical Society. 42: 340-351. DOI: 10.1088/0959-5309/42/4/305	0.12
82	1927	Debye P. 	Introductory paper—Part I: Mobilities of ions.	 Report on conductivity of strong electrolytes in dilute solutions Trans. Faraday Soc.. 23: 334-340. DOI: 10.1039/TF9272300334	0.12
0	1931	Tolman RC, Ehrenfest P, Podolsky B. 	On the gravitational field produced by light 	Physical Review. 37: 602-615. DOI: 10.1103/PhysRev.37.602	0.512
1	1931	Ehrenfest P, Oppenheimer JR. 	Note on the statistics' of nuclei 	Physical Review. 37: 333-338. DOI: 10.1103/PhysRev.37.333	0.373
2	1927	Ehrenfest P, Epstein PS. 	Remarks on the Quantum Theory of Diffraction.	Proceedings of the National Academy of Sciences of the United States of America. 13: 400-8. PMID 16587187 DOI: 10.1073/Pnas.13.6.400	0.508
3	1927	Ehrenfest P, Uhlenbeck GE. 	Die wellenmechanische Interpretation der Boltzmannschen Statistik neben der der neueren Statistiken 	Zeitschrift FüR Physik. 41: 24-26. DOI: 10.1007/BF01454759	0.551
4	1927	Ehrenfest P, Uhlenbeck GE. 	Zum Einsteinschen ""Mischungsparadoxon"" 	Zeitschrift FüR Physik. 41: 576-582. DOI: 10.1007/BF01390489"	0.548
5	1926	Ehrenfest P, Uhlenbeck GE. 	Graphische Veranschaulichung der De Broglieschen Phasenwellen in der fünfdimensionalen Welt von O. Klein 	Zeitschrift FüR Physik. 39: 495-498. DOI: 10.1007/BF01322089	0.511
6	1924	Epstein PS, Ehrenfest P. 	The Quantum Theory of the Fraunhofer Diffraction. 	Proceedings of the National Academy of Sciences of the United States of America. 10: 133-9. PMID 16576801 DOI: 10.1073/Pnas.10.4.133	0.494
7	1923	Einstein A, Ehrenfest P. 	Zur Quantentheorie des Strahlungsgleichgewichts 	Zeitschrift FüR Physik. 19: 301-306. DOI: 10.1007/BF01327565	0.357
8	1922	Einstein A, Ehrenfest P. 	Quantentheoretische Bemerkungen zum Experiment von Stern und Gerlach 	Zeitschrift FüR Physik. 11: 31-34. DOI: 10.1007/BF01328398	0.374
10	1923	Ehrenfest P. 	Adiabatische Transformationen in der Quantentheorie und ihre Behandlung durch Niels Bohr 	Die Naturwissenschaften. 11: 543-550. DOI: 10.1007/BF01554349	0.283
11	1927	Ehrenfest P. 	Besteht ein Zusammenhang zwischen der Undurchdringlichkeit materieller Teilchen und dem ""Pauli-Verbot""? (Ein Widerruf.) 	Die Naturwissenschaften. 15: 268. DOI: 10.1007/BF01506067"	0.281
12	1927	Ehrenfest P. 	Besteht ein allgemeiner Zusammenhang zwischen der wechselseitigen Undurchdringlichkeit materieller Teilchen und dem ""Pauli-Verbot""? 	Die Naturwissenschaften. 15: 161-162. DOI: 10.1007/BF01505103"	0.279
13	1927	Ehrenfest P. 	Bemerkung über die angenäherte Gültigkeit der klassischen Mechanik innerhalb der Quantenmechanik 	Zeitschrift FüR Physik. 45: 455-457. DOI: 10.1007/BF01329203	0.269
14	1924	Coster D, Ehrenfest P, Baldus K. 	Zuschriften und vorläufige Mitteilungen 	Die Naturwissenschaften. 12: 724-726. DOI: 10.1007/BF01504821	0.265
16	1926	Ehrenfest P. 	Bemerkungen betreffs zweier Publikationen über Energieschwankungen 	Zeitschrift FüR Physik. 35: 316. DOI: 10.1007/BF01380303	0.249
17	1929	Ehrenfest P. 	Bemerkungen über den Diamagnetismus von festem Wismut 	Zeitschrift FüR Physik. 58: 719-721. DOI: 10.1007/BF01339732	0.248
18	1921	Ehrenfest P. 	Bemerkung über den Paramagnetismus von festen Körpern 	Zeitschrift FüR Physik. 5: 35-38. DOI: 10.1007/BF01349683	0.248
19	1932	Ehrenfest P. 	Einige die Quantenmechanik betreffende Erkundigungsfragen 	Zeitschrift FüR Physik. 78: 555-559. DOI: 10.1007/BF01331295	0.201
20	1922	Ehrenfest P, 	Breit G. Ein bemerkenswerter Fall von Quantisierung 	Zeitschrift FüR Physik. 9: 207-210. DOI: 10.1007/BF01326971	0.161
21	1923	Ehrenfest P. 	Ein alter Trugschluß betreffs des Wärmegleichgewichtes eines Gases im Schwerefeld 	Zeitschrift FüR Physik. 17: 421-422. DOI: 10.1007/BF01328698	0.153
22	1928	Ehrenfest P, 	Rutgers AJ. Bemerkung zur wellenmechanischen Deutung des limitären Ramsauer-Effektes 	Die Naturwissenschaften. 16: 184. DOI: 10.1007/BF01506449	0.13
23	1925	Ehrenfest P. 	Energieschwankungen im Strahlungsfeld oder Kristallgitter bei Superposition quantisierter Eigenschwingungen 	Zeitschrift FüR Physik. 34: 362-373. DOI: 10.1007/BF01328482	0.129
26	1924	Piaggio HTH, Campbell NR, Lorentz HA, Rutherford E, de Broglie M, Millikan RA, Onnes HK, Weiss P, Brillouin L, Bragg WH, de Haas WJ, Bohr N, Ehrenfest P. 	Modern Electrical Theory. Supplementary Chapters. Chapter XVII.: The Structure of the Atom 	The Mathematical Gazette. 12: 117. DOI: 10.2307/3604665	0.101
30	1930	Tolman RC, Ehrenfest P. 	Temperature equilibrium in a static gravitational field 	Physical Review. 36: 1791-1798. DOI: 10.1103/PhysRev.36.1791	0.081
31	1924	Bateman H, Ehrenfest P. 	The Derivation of Electromagnetic Fields from a Basic Wave-Function. 	Proceedings of the National Academy of Sciences of the United States of America. 10: 369-74. PMID 16576838	0.075
32	1924	Ehrenfest P, Tolman RC. 	Weak quantization 	Physical Review. 24: 287-295. DOI: 10.1103/PhysRev.24.287	0.074
33	1923	Ehrenfest P. 	Kann die Bewegung eines Systems von s Freiheitsgraden mehr als (2 s-1)-fach-periodisch sein? 	Zeitschrift FüR Physik. 19: 242-245. DOI: 10.1007/BF01327562	0.067
35	1928	Haigh BP, Gough HJ, Adam NK, Bragg W, Poole HJ, Masson I, Egerton A, Lennard-Jones, Polanyi A, Ehrenfest P, Müller A, Smithells CJ, Porter AW, Mond R, Finlayson D, et al. 	Cohesion and related problems. 	General discussion Transactions of the Faraday Society. 24: 165-179. DOI: 10.1039/TF9282400165	0.06
36	1927	Ehrenfest P. 	Relation between the reciprocal impenetrability of matter and Pauli's exclusion principle [4] 	Nature. 119: 196.	0.059
39	1922	Ehrenfest P. 	The difference between series spectra of isotopes [4] 	Nature. 109: 745-746.	0.01
11	1932	Einstein A, de Sitter W. 	On the Relation between the Expansion and the Mean Density of the Universe. 	Proceedings of the National Academy of Sciences of the United States of America. 18: 213-4. PMID 16587663 DOI: 10.1073/Pnas.18.3.213	0.735
12	1931	Einstein A, Tolman RC, Podolsky B. 	Knowledge of past and future in quantum mechanics 	Physical Review. 37: 780-781. DOI: 10.1103/PhysRev.37.780	0.66
13	1927	Curie M, Lorentz HA, Einstein A, Serex P. 	The Establishment Of An International Bureau Of Meteorology 	Science. 65: 415-417. DOI: 10.1126/Science.65.1687.415-A	0.693
14	1923	Einstein A, Ehrenfest P. 	Zur Quantentheorie des Strahlungsgleichgewichts 	Zeitschrift FüR Physik. 19: 301-306. DOI: 10.1007/BF01327565	0.655
15	1922	Einstein A, Ehrenfest P. 	Quantentheoretische Bemerkungen zum Experiment von Stern und Gerlach 	Zeitschrift FüR Physik. 11: 31-34. DOI: 10.1007/BF01328398	0.654
109	1928	Woolard EW, Einstein A, Furth R, Cowper AD. 	Investigations on the Theory of the Brownian Movement. 	American Mathematical Monthly. 35: 318. DOI: 10.2307/2298685	0.266
110	1927	Einstein A. 	Newtons Mechanik und ihr Einfluß auf die Gestaltung der theoretischen Physik 	Die Naturwissenschaften. 15: 273-276. DOI: 10.1007/BF01506256	0.266
111	1926	Einstein A. 	Die Ursache der Mäanderbildung der Flußläufe und des sogenannten Baerschen Gesetzes 	Die Naturwissenschaften. 14: 223-224. DOI: 10.1007/BF01510300	0.266
112	1925	Murnaghan FD, Einstein A, Jeffery GB, Perrett W, Whitehead AN. 	Sidelights on Relativity.The Principle of Relativity with Applications to Physical Science.	American Mathematical Monthly. 32: 311. DOI: 10.2307/2299149	0.266
113	1924	Einstein A. 	Zum hundertjährigen Gedenktag von Lord Kelvins Geburt. 26. Juni 1824 	Die Naturwissenschaften. 12: 601-602. DOI: 10.1007/BF01506009	0.266
114	1924	Einstein A. 	Antwort auf eine Bemerkung vonW. 	Anderson Astronomische Nachrichten. 221: 329-330. DOI: 10.1002/asna.19242212004	0.266
115	1923	Einstein A, Mühsam H. 	Experimentelle Bestimmung der Kanalweite von Filtern 	Deutsche Medizinische Wochenschrift. 49: 1012-1013. DOI: 10.1055/S-0028-1132315	0.266
116	1923	Einstein A. 	The theory of the affine field 	Nature. 112: 448-449. DOI: 10.1038/112448A0	0.266
117	1923	Einstein A. 	Notiz zu der Arbeit von A. Friedmann "Über die Krümmung des Raumes" 	Zeitschrift FüR Physik. 16: 228. DOI: 10.1007/BF01327395"	0.266
118	1923	Einstein A. 	Bemerkung zu der Notiz vonW. 	Anderson Astronomische Nachrichten. 219: 19-20. DOI: 10.1002/asna.19232190103	0.266
119	1922	Einstein A. 	Emil Warburg als Forscher 	Die Naturwissenschaften. 10: 823-826. DOI: 10.1007/BF01580621	0.266
120	1922	Einstein A. 	Bemerkung zu der Arbeit von A. Friedmann "Über die Krümmung des Raumes" 	Zeitschrift FüR Physik. 11: 326. DOI: 10.1007/BF01328424"	0.266
121	1922	Einstein A. 	Bemerkung zu der Franz Seletyschen Arbeit ”Beiträge zum kosmologischen System" 	Annalen Der Physik. 374: 436-438. DOI: 10.1002/andp.19223742203	0.266
122	1921	Einstein A. 	L'Ether et la Théorie de la Relativité 	Journal of the RöNtgen Society. 17: 133-134. DOI: 10.1259/jrs.1921.0060	0.266
123	1921	Einstein A. 	La théorie de la relativité restreinte et générale 	Journal of the RöNtgen Society. 17: 133-133. DOI: 10.1259/Jrs.1921.0059	0.266
124	1921	Einstein A. 	A brief outline of the development of the theory of relativity 	Nature. 106: 782-784. DOI: 10.1038/106782A0	0.266
1	1931	Chandrasekhar S, Fowler RH, Milne EA. 	The Dissociation Formula according to the Relativistic Statistics 	Monthly Notices of the Royal Astronomical Society. 91: 446-455. DOI: 10.1093/Mnras/91.5.446	0.357
2	1925	Fowler RH, Milne EA. 	A Note on the Principle of Detailed Balancing. 	Proceedings of the National Academy of Sciences of the United States of America. 11: 400-2. PMID 16587026	0.361
3	1923	Fowler RH, Milne EA. 	The Intensities of Absorption Lines in Stellar Spectra, and the Temperatures and Pressures in the Reversing Layers of Stars.: (Plates 15, 16.) 	Monthly Notices of the Royal Astronomical Society. 83: 403-424. DOI: 10.1093/MNRAS/83.7.403	0.41
9	1932	Kothari DS, Fowler RH. 	Applications of Degenerate Statistics to Stellar Matter 	Monthly Notices of the Royal Astronomical Society. 93: 61-89. DOI: 10.1093/MNRAS/93.1.61	0.12
10	1931	Wilson AH, Fowler RH. 	The Transmutation of Elements in Stars 	Monthly Notices of the Royal Astronomical Society. 91: 283-294. DOI: 10.1093/MNRAS/91.3.283	0.12
11	1926	Fowler R. 	LXXV.The statistical mechanics of assemblies of ionized atoms and electrons 	The London, Edinburgh, and Dublin Philosophical Magazine and Journal of Science. 1: 845-875. DOI: 10.1080/14786442608633686	0.12
12	1925	Fowler. RH. 	Notes on the Theory of Absorption Lines in Stellar Spectra 	Monthly Notices of the Royal Astronomical Society. 85: 970-977. DOI: 10.1093/MNRAS/85.9.970	0.12
13	1925	Fowler RH, Guggenheim EA. 	Applications of Statistical Mechanics to Determine the Properties of Matter in Stellar Interiors. Part II. 	The Adiabatics Monthly Notices of the Royal Astronomical Society. 85: 961-970. DOI: 10.1093/MNRAS/85.9.961	0.12
14	1925	Fowler R. 	CXXVIII. Applications of the correspondence principle to the theory of line-intensities in band-spectra 	The London, Edinburgh, and Dublin Philosophical Magazine and Journal of Science. 49: 1272-1288. DOI: 10.1080/14786442508634707	0.12
15	1925	Fowler R. 	CXVI. A note on the summation rules for the intensities of spectral lines 	The London, Edinburgh, and Dublin Philosophical Magazine and Journal of Science. 50: 1079-1083. DOI: 10.1080/14786442508628552	0.12
16	1924	Fowler R. 	XXIII. Statistical equilibrium with special reference to the mechanism of ionization by electronic impacts 	The London, Edinburgh, and Dublin Philosophical Magazine and Journal of Science. 47: 257-277. DOI: 10.1080/14786442408634366	0.12
17	1923	Fowler R. 	LIII. Thermodynamics and statistical mechanics 	The London, Edinburgh, and Dublin Philosophical Magazine and Journal of Science. 45: 497-516. DOI: 10.1080/14786442308634142	0.12
18	1922	Darwin C, Fowler R. XLIV. 	On the partition of energy The London, Edinburgh, and Dublin Philosophical Magazine and Journal of Science. 44: 450-479. DOI: 10.1080/14786440908565189	0.12
20	1923	Fowler RH. 	The origin of optical spectra 	Nature. 112: 655-656.	0.106
21	1932	Fowler RH, Sterne TE. 	Statistical mechanics with particular reference to the vapor pressures and entropies of crystals 	Reviews of Modern Physics. 4: 635-722. DOI: 10.1103/RevModPhys.4.635	0.083
22	1931	Fowler RH. 	The analysis of photoelectric sensitivity curves for clean metals at various temperatures 	Physical Review. 38: 45-56. DOI: 10.1103/PhysRev.38.45	0.081
23	1927	Fowler RH. 	Strong electrolytes in relation to statistical theory, in particular the phase integral of Gibbs 	Transactions of the Faraday Society. 23: 434-443.	0.078
29	1933	Bernal JD, Fowler RH. 	A theory of water and ionic solution, with particular reference to hydrogen and hydroxyl ions 	The Journal of Chemical Physics. 1: 515-548. DOI: 10.1063/1.1749327	0.059
32	1931	Fowler RH, Powell FC. 	A note on Ferromagnetism Mathematical Proceedings of the Cambridge 	Philosophical Society. 27: 280-289. DOI: 10.1017/S0305004100010409	0.057
100	1923	Fowler RH. 	Bohr's atom in relation to the problem of covalency 	Transactions of the Faraday Society. 19: 459-468.	0.01
3	1930	Heisenberg W, Pauli W. 	Zur Quantentheorie der Wellenfelder. II 	Zeitschrift FüR Physik. 59: 168-190. DOI: 10.1007/Bf01341423	0.694
4	1929	Heisenberg W, Pauli W. 	Zur Quantendynamik der Wellenfelder 	Zeitschrift FüR Physik. 56: 1-61. DOI: 10.1007/Bf01340129	0.677
5	1926	Heisenberg W, Jordan P. 	Anwendung der Quantenmechanik auf das Problem der anomalen Zeemaneffekte 	Zeitschrift FüR Physik. 37: 263-277. DOI: 10.1007/Bf01397100	0.616
6	1926	Born M, Heisenberg W, Jordan P. 	Zur Quantenmechanik. II. 	Zeitschrift FüR Physik. 35: 557-615. DOI: 10.1007/Bf01379806	0.682
7	1925	Kramers HA, Heisenberg W. 	Über die Streuung von Strahlung durch Atome 	Zeitschrift FüR Physik. 31: 681-708. DOI: 10.1007/BF02980624	0.63
8	1924	Born M, Heisenberg W. 	Über den Einfluß der Deformierbarkeit der Ionen auf optische und chemische Konstanten. I 	Zeitschrift FüR Physik. 23: 388-410. DOI: 10.1007/BF01327603	0.585
9	1924	Born M, Heisenberg W. 	Zur Quantentheorie der Molekeln 	Annalen Der Physik. 389: 457-484. DOI: 10.1002/Andp.19273892002	0.604
10	1923	Born M, Heisenberg W. 	Über Phasenbeziehungen bei den Bohrschen Modellen von Atomen und Molekeln 	Zeitschrift FüR Physik. 14: 44-55. DOI: 10.1007/BF01340032	0.615
11	1923	Born M, Heisenberg W. 	Die Elektronenbahnen im angeregten Heliumatom 	Zeitschrift FüR Physik. 16: 229-243. DOI: 10.1007/BF01327396	0.605
78	1933	Heisenberg W. 	Über den Bau der Atomkerne. III 	Zeitschrift FüR Physik. 80: 587-596. DOI: 10.1007/BF01335696	0.265
79	1931	Heisenberg W. 	Kausalgesetz und Quantenmechanik 	Erkenntnis. 2: 172-182. DOI: 10.1007/BF02028149	0.265
80	1931	Heisenberg W. 	Die Rolle der Unbestimmtheitsrelationen in der modernen Physik 	Monatshefte FüR Mathematik Und Physik. 38: 365-372. DOI: 10.1007/BF01700709	0.265
81	1928	Heisenberg W. 	Zur Theorie des Ferromagnetismus 	Zeitschrift FüR Physik. 49: 619-636. DOI: 10.1007/BF01328601	0.265
82	1927	Heisenberg W. 	Schwankungserscheinungen und Quantenmechanik 	Zeitschrift FüR Physik. 40: 501-506. DOI: 10.1007/BF01440827	0.265
83	1927	Heisenberg W. 	Über den anschaulichen Inhalt der quantentheoretischen Kinematik und Mechanik 	Zeitschrift FüR Physik. 43: 172-198. DOI: 10.1007/BF01397280	0.265
84	1927	Heisenberg W. 	Mehrkörperprobleme und Resonanz in der Quantenmechanik. II 	Zeitschrift FüR Physik. 41: 239-267. DOI: 10.1007/BF01391241	0.265
85	1925	Heisenberg W. 	Zur Quantentheorie der Multiplettstruktur und der anomalen Zeemaneffekte 	Zeitschrift FüR Physik. 32: 841-860. DOI: 10.1007/BF01331720	0.265
86	1925	Heisenberg W. 	Über quantentheoretische Umdeutung kinematischer und mechanischer Beziehungen. 	Zeitschrift FüR Physik. 33: 879-893. DOI: 10.1007/BF01328377	0.265
87	1924	Landé A, Heisenberg W. 	Termstruktur der Multipletts höherer Stufe 	Zeitschrift FüR Physik. 25: 279-286. DOI: 10.1007/BF01327529	0.265
88	1924	Heisenberg W. 	Über Stabilität und Turbulenz von Flüssigkeitsströmen 	Annalen Der Physik. 379: 577-627. DOI: 10.1002/Andp.19243791502	0.265
89	1922	Sommerfeld A, Heisenberg W. 	Eine Bemerkung über relativistische Röntgendubletts und Linienschärfe 	Zeitschrift FüR Physik. 10: 393-398. DOI: 10.1007/BF01332582	0.265
90	1922	Heisenberg W. Zur 	Quantentheorie der Linienstruktur und der anomalen Zeemaneflekte 	Zeitschrift FüR Physik. 8: 273-297. DOI: 10.1007/BF01329602	0.265
91	1922	Sommerfeld A, Heisenberg W. 	Die Intensität der Mehrfachlinien und ihrer Zeemankomponenten 	Zeitschrift FüR Physik. 11: 131-154. DOI: 10.1007/BF01328408	0.265
124	1932	Heisenberg W. 	Über die durch Ultrastrahlung hervorgerufenen Zertrümmerungsprozesse 	Die Naturwissenschaften. 20: 365-366. DOI: 10.1007/BF01504936	0.12
125	1932	Heisenberg W. 	Theoretische Überlegungen zur Höhenstrahlung 	Annalen Der Physik. 405: 430-452. DOI: 10.1002/ANDP.19324050404	0.12
126	1931	Heisenberg W. 	Zur Theorie der Magnetostriktion und der Magnetisierungskurve 	Zeitschrift FüR Physik. 69: 287-297. DOI: 10.1007/BF01391350	0.12
127	1931	Heisenberg W. 	Notiz zur Arbeit des Herrn N. Tunazima: Zum Ferromagnetismus 	Zeitschrift FüR Physik. 68: 720. DOI: 10.1007/BF01390593	0.12
128	1931	Heisenberg W. 	Bemerkungen zur Strahlungstheorie 	Annalen Der Physik. 401: 338-346. DOI: 10.1002/ANDP.19314010305	0.12
129	1930	Heisenberg W. 	Die Selbstenergie des Elektrons 	Zeitschrift FüR Physik. 65: 4-13. DOI: 10.1007/BF01397404	0.12
130	1929	Heisenberg W. 	Die Entwicklung der Quantentheorie 1918-1928 	Die Naturwissenschaften. 17: 490-496. DOI: 10.1007/BF01505682	0.12
131	1926	Heisenberg W. 	Quantenmechanik 	Die Naturwissenschaften. 14: 989-994. DOI: 10.1007/BF01504651	0.12
132	1926	Heisenberg W. 	Mehrkörperproblem und Resonanz in der Quantenmechanik 	Zeitschrift FüR Physik. 38: 411-426. DOI: 10.1007/BF01397160	0.12
133	1926	Heisenberg W. 	Über die Spektra von Atomsystemen mit zwei Elektronen 	Zeitschrift FüR Physik. 39: 499-518. DOI: 10.1007/BF01322090	0.12
134	1926	Heisenberg W. 	Über quantentheoretische Kinematik und Mechanik 	Mathematische Annalen. 95: 683-705. DOI: 10.1007/BF01206633	0.12
135	1925	Heisenberg W. 	Über eine Anwendung des Korrespondenzprinzips auf die Frage nach der Polarisation des Fluoreszenzlichtes 	Zeitschrift FüR Physik. 31: 617-626. DOI: 10.1007/BF02980618	0.12
136	1924	Heisenberg W. 	Bemerkung zu einer Arbeit von F. v. Wiśniewski: ""Zur Theorie des Heliums"" 	Zeitschrift FüR Physik. 25: 175-176. DOI: 10.1007/BF01327520"	0.12
137	1924	Heisenberg W. 	Über eine Abänderung der formalen Regeln der Quantentheorie beim Problem der anomalen Zeemaneffekte 	Zeitschrift FüR Physik. 26: 291-307. DOI: 10.1007/BF01327336	0.12
138	1924	Heisenberg W. 	Über den Einfluß der Deformierbarkeit der Ionen auf optische und chemische Konstanten. II - Stabilität und Bildungswärme dreiatomiger Molekeln und Ionen 	Zeitschrift FüR Physik. 26: 196-204. DOI: 10.1007/BF01327329	0.12
2	1926	Kramers HA. 	Wellenmechanik und halbzahlige Quantisierung 	Zeitschrift FüR Physik. 39: 828-840. DOI: 10.1007/BF01451751	0.442
3	1925	Kramers HA, Heisenberg W. 	Über die Streuung von Strahlung durch Atome 	Zeitschrift FüR Physik. 31: 681-708. DOI: 10.1007/BF02980624	0.419
4	1925	Kramers HA, Holst H, Eucken A, Hüttig GF, v. Auwers K, Thiel A, Dassler A, Wülfken F, Wedekind E, Kuhn A, Becker K, Ebert F, Stavenhagen A, Alterthum H, Buchner M, et al. 	Bericht über die fortschritte der analytischen chemie 	Zeitschrift FüR Analytische Chemie. 67: 155-157. DOI: 10.1007/BF02427197	0.477
5	1924	Bohr N, Kramers HA, Slater JC. 	Über die Quantentheorie der Strahlung 	Zeitschrift FüR Physik. 24: 69-87. DOI: 10.1007/Bf01327235	0.345
6	1923	Kramers HA. 	Das Korrespondenzprinzip und der Schalenbau des Atoms 	Die Naturwissenschaften. 11: 550-559. DOI: 10.1007/BF01554350	0.321
7	1923	Kramers HA. 	Über die Quantelung rotierender Moleküle 	Zeitschrift FüR Physik. 13: 343-350. DOI: 10.1007/BF01328225	0.369
10	1924	Kramers HA. 	Die chemischen Eigenschaften der Atome nach der Bohrschen Theorie 	Die Naturwissenschaften. 12: 1050-1054. DOI: 10.1007/BF01452117	0.258
13	1933	Kramers HA, Jonker CC, Koopmans T. 	Wigners Erweiterung des Thomas-Kuhnschen Summensatzes für ein Elektron in einem Zentralfeld 	Zeitschrift FüR Physik. 80: 178-182. DOI: 10.1007/BF02055907	0.23
16	1933	Van Engers EM, Kramers HA. 	Zur Anwendung der Methode der Phasenintegrale auf das Wasserstoffmolekülion 	Zeitschrift FüR Physik. 82: 328-336. DOI: 10.1007/BF01341962	0.199
17	1927	Ornstein LS, Kramers HA. 	Zur kinetischen Herleitung des Fermischen Verteilungsgesetzes 	Zeitschrift FüR Physik. 42: 481-486. DOI: 10.1007/BF01397706	0.191
19	1923	Kramers HA. 	Über das Modell des Heliumatoms 	Zeitschrift FüR Physik. 13: 312-341. DOI: 10.1007/BF01328222	0.151
21	1930	Kramers HA, Ittmann GP. 	Zur Quantelung des asymmetrischen Kreisels. III 	Zeitschrift FüR Physik. 60: 663-681. DOI: 10.1007/BF01339762	0.125
23	1928	Kronig RdL, Kramers HA. 	Zur Theorie der Absorption und Dispersion in den Röntgenspektren 	Zeitschrift FüR Physik. 48: 174-179. DOI: 10.1007/BF01351301	0.117
24	1933	de Haas WJ, Wiersma EC, Kramers HA. 	Das Erreichen niedriger Temperaturen mittels adiabatischer Demagnetisierung 	Die Naturwissenschaften. 21: 467. DOI: 10.1007/BF01505452	0.112
26	1923	Kramers HA, Pauli W. 	Zur Theorie der Bandenspektren 	Zeitschrift FüR Physik. 13: 351-367. DOI: 10.1007/BF01328226	0.09
29	1929	Kramers HA. 	Zur Struktur der Multiplett-S-Zustände in zweiatomigen Molekülen. I 	Zeitschrift FüR Physik. 53: 422-428. DOI: 10.1007/BF01347762	0.073
30	1929	Kramers HA. 	Zur Aufspaltung von Multiplett-S-Termen in zweiatomigen Molekülen. II 	Zeitschrift FüR Physik. 53: 429-438. DOI: 10.1007/BF01347763	0.031
32	1924	Kramers HA. 	The quantum theory of dispersion [3] 	Nature. 114: 310-311.	0.027
40	1932	Olson AR, Kramers HA. 	The normal vibrations of acetylene 	Journal of the American Chemical Society. 54: 136-138.	0.01
41	1924	Kramers HA. 	The law of dispersion and Bohr's theory of spectra [1] 	Nature. 113: 673-674.	0.01
0	1926	Tonks L, Mott-Smith HM, Langmuir I. 	Flow of ions through a small orifice in a charged plate 	Physical Review. 28: 104-128. DOI: 10.1103/Physrev.28.104	0.634
2	1924	Langmuir I, Found CG, Dittmer AF. 	A NEW TYPE OF ELECTRIC DISCHARGE: THE STREAMER DISCHARGE. 	Science (New York, N.Y.). 60: 392-4. PMID 17750731 DOI: 10.1126/Science.60.1557.392	0.272
3	1931	Langmuir I, Compton KT. 	Electrical discharges in gases part II. Fundamental phenomena in electrical discharges 	Reviews of Modern Physics. 3: 191-257. DOI: 10.1103/Revmodphys.3.191	0.27
4	1930	Compton KT, Langmuir I. 	Electrical discharges in gases. Part I. Survey of fundamental processes 	Reviews of Modern Physics. 2: 123-242. DOI: 10.1103/Revmodphys.2.123	0.266
47	1933	Taylor JB, Langmuir I.	 The evaporation of atoms, ions and electrons from caesium films on tungsten 	Physical Review. 44: 423-458. DOI: 10.1103/Physrev.44.423	0.265
48	1933	Langmuir I. 	The nature of adsorbed films of caesium on tungsten. Part I. the space charge sheath and the image force 	Physical Review. 43: 224-251. DOI: 10.1103/Physrev.43.224	0.265
49	1933	Langmuir I. 	Oil lenses on water and the nature of monomolecular expanded films 	The Journal of Chemical Physics. 1: 756-776. DOI: 10.1063/1.1749243	0.265
50	1933	Langmuir I. 	An extension of the phase rule for adsorption under equilibrium and non-equilibrium conditions 	The Journal of Chemical Physics. 1: 3-12. DOI: 10.1063/1.1749216	0.265
51	1932	Blodgett KB, Langmuir I. 	Accommodation coefficient of hydrogen; a sensitive detector of surface films 	Physical Review. 40: 78-104. DOI: 10.1103/Physrev.40.78	0.265
52	1932	Langmuir I, Taylor JB. 	The mobility of caesium atoms adsorbed on tungsten [1] 	Physical Review. 40: 463-464. DOI: 10.1103/Physrev.40.463	0.265
53	1932	Found CG, Langmuir I. 	Study of a neon discharge by use of collectors 	Physical Review. 39: 237-253. DOI: 10.1103/Physrev.39.237	0.265
54	1932	Blodgett KB, Langmuir I. 	A Film Which Adsorbs Atomic H And Does Not Adsorb H2 	Journal of the American Chemical Society. 54: 3781-3782. DOI: 10.1021/Ja01348A509	0.265
55	1932	Langmuir I. 	Vapor pressures, evaporation, condensation and adsorption 	The Journal of the American Chemical Society. 54: 2798-2832. DOI: 10.1021/Ja01346A022	0.265
56	1932	Langmuir I. 	CESIUM FILMS ON TUNGSTEN 	Journal of the American Chemical Society. 54: 1252-1253. DOI: 10.1021/Ja01342A505	0.265
57	1932	Langmuir I. 	Electric discharges in gases at low pressures 	Journal of the Franklin Institute. 214: 275-298. DOI: 10.1016/S0016-0032(32)90932-6	0.265
58	1931	Langmuir I, Westendorp WF. 	A study of light signals in aviation and navigation Journal of Applied Physics. 1: 273-317. DOI: 10.2150/Jieij1917.27.4_179	0.265
59	1931	Langmuir I, Sixtus KJ. 	Regions of reversed magnetization in strained wires [2] 	Physical Review. 38: 2072. DOI: 10.1103/Physrev.38.2072	0.265
60	1931	Langmuir I. 	Diffusion of electrons back to an emitting electrode in a gas 	Physical Review. 38: 1656-1663. DOI: 10.1103/Physrev.38.1656	0.265
61	1931	Langmuir I. 	The alleged production of adsorbed films on tungsten by active nitrogen [6] 	Physical Review. 37: 1006. DOI: 10.1103/Physrev.37.1006	0.265
