,author,co-author,year,attribute
195,EHRENFEST P,BALDUS K,1924,collaborate
196,EHRENFEST P,,1922,collaborate
197,EHRENFEST P,,1928,collaborate
198,TOLMAN RC,EHRENFEST P,1930,collaborate
199,BATEMAN H,EHRENFEST P,1924,collaborate
200,EHRENFEST P,TOLMAN RC,1924,collaborate
201,HAIGH BP,GOUGH HJ,1928,collaborate
202,HAIGH BP,ADAM NK,1928,collaborate
203,HAIGH BP,BRAGG WH,1928,collaborate
204,HAIGH BP,POOLE HJ,1928,collaborate
205,HAIGH BP,MASSON I,1928,collaborate
206,HAIGH BP,EGERTON A,1928,collaborate
207,HAIGH BP,LENNARD-JONES,1928,collaborate
208,HAIGH BP,POLANYI A,1928,collaborate
209,HAIGH BP,EHRENFEST P,1928,collaborate
210,HAIGH BP,MÜLLER A,1928,collaborate
