,author,co-author,year,attribute
682,CHITTENDEN RH,COTTRELL FG,1924,collaborate
683,CHITTENDEN RH,COOKE JP,1924,collaborate
684,CHITTENDEN RH,FRANKLIN EC,1924,collaborate
685,CHITTENDEN RH,GIBBS JW,1924,collaborate
686,CHITTENDEN RH,GIBBS W,1924,collaborate
687,CHITTENDEN RH,GOMBERG M,1924,collaborate
688,CHITTENDEN RH,HARE R,1924,collaborate
689,CHITTENDEN RH,HILLEBRAND WF,1924,collaborate
690,CHITTENDEN RH,LANGMUIR I,1924,collaborate
691,CLARKE FW,COTTRELL FG,1924,collaborate
692,CLARKE FW,COOKE JP,1924,collaborate
693,CLARKE FW,FRANKLIN EC,1924,collaborate
694,CLARKE FW,GIBBS JW,1924,collaborate
695,CLARKE FW,GIBBS W,1924,collaborate
696,CLARKE FW,GOMBERG M,1924,collaborate
697,CLARKE FW,HARE R,1924,collaborate
698,CLARKE FW,HILLEBRAND WF,1924,collaborate
699,CLARKE FW,LANGMUIR I,1924,collaborate
700,COTTRELL FG,COOKE JP,1924,collaborate
701,COTTRELL FG,FRANKLIN EC,1924,collaborate
702,COTTRELL FG,GIBBS JW,1924,collaborate
703,COTTRELL FG,GIBBS W,1924,collaborate
704,COTTRELL FG,GOMBERG M,1924,collaborate
705,COTTRELL FG,HARE R,1924,collaborate
706,COTTRELL FG,HILLEBRAND WF,1924,collaborate
707,COTTRELL FG,LANGMUIR I,1924,collaborate
708,COOKE JP,FRANKLIN EC,1924,collaborate
709,COOKE JP,GIBBS JW,1924,collaborate
710,COOKE JP,GIBBS W,1924,collaborate
711,COOKE JP,GOMBERG M,1924,collaborate
712,COOKE JP,HARE R,1924,collaborate
713,COOKE JP,HILLEBRAND WF,1924,collaborate
714,COOKE JP,LANGMUIR I,1924,collaborate
715,FRANKLIN EC,GIBBS JW,1924,collaborate
716,FRANKLIN EC,GIBBS W,1924,collaborate
717,FRANKLIN EC,GOMBERG M,1924,collaborate
718,FRANKLIN EC,HARE R,1924,collaborate
719,FRANKLIN EC,HILLEBRAND WF,1924,collaborate
720,FRANKLIN EC,LANGMUIR I,1924,collaborate
721,GIBBS JW,GIBBS W,1924,collaborate
722,GIBBS JW,GOMBERG M,1924,collaborate
723,GIBBS JW,HARE R,1924,collaborate
724,GIBBS JW,HILLEBRAND WF,1924,collaborate
725,GIBBS JW,LANGMUIR I,1924,collaborate
726,GIBBS W,GOMBERG M,1924,collaborate
727,GIBBS W,HARE R,1924,collaborate
728,GIBBS W,HILLEBRAND WF,1924,collaborate
729,GIBBS W,LANGMUIR I,1924,collaborate
730,GOMBERG M,HARE R,1924,collaborate
731,GOMBERG M,HILLEBRAND WF,1924,collaborate
732,GOMBERG M,LANGMUIR I,1924,collaborate
733,HARE R,HILLEBRAND WF,1924,collaborate
734,HARE R,LANGMUIR I,1924,collaborate
735,HILLEBRAND WF,LANGMUIR I,1924,collaborate
736,MICHELSON AA,LORENTZ HA,1928,collaborate
737,MICHELSON AA,MILLER DC,1928,collaborate
738,MICHELSON AA,KENNEDY RJ,1928,collaborate
739,MICHELSON AA,HEDRICK ER,1928,collaborate
740,MICHELSON AA,EPSTEIN PS,1928,collaborate
741,LORENTZ HA,MILLER DC,1928,collaborate
742,LORENTZ HA,KENNEDY RJ,1928,collaborate
743,LORENTZ HA,HEDRICK ER,1928,collaborate
744,LORENTZ HA,EPSTEIN PS,1928,collaborate
745,MILLER DC,KENNEDY RJ,1928,collaborate
746,MILLER DC,HEDRICK ER,1928,collaborate
747,MILLER DC,EPSTEIN PS,1928,collaborate
748,KENNEDY RJ,HEDRICK ER,1928,collaborate
749,KENNEDY RJ,EPSTEIN PS,1928,collaborate
750,HEDRICK ER,EPSTEIN PS,1928,collaborate
751,CURIE M,LORENTZ HA,1927,collaborate
752,CURIE M,EINSTEIN A,1927,collaborate
753,LORENTZ HA,EINSTEIN A,1927,collaborate
754,PIAGGIO HTH,CAMPBELL NR,1924,collaborate
755,PIAGGIO HTH,LORENTZ HA,1924,collaborate
756,PIAGGIO HTH,RUTHERFORD E,1924,collaborate
757,PIAGGIO HTH,DE BROGLIE M,1924,collaborate
758,PIAGGIO HTH,MILLIKAN RA,1924,collaborate
759,PIAGGIO HTH,ONNES HK,1924,collaborate
760,PIAGGIO HTH,WEISS P,1924,collaborate
761,PIAGGIO HTH,BRILLOUIN L,1924,collaborate
762,PIAGGIO HTH,BRAGG WH,1924,collaborate
763,PIAGGIO HTH,DE HAAS WJ,1924,collaborate
764,PIAGGIO HTH,BOHR N,1924,collaborate
765,PIAGGIO HTH,EHRENFEST P,1924,collaborate
766,CAMPBELL NR,LORENTZ HA,1924,collaborate
767,CAMPBELL NR,RUTHERFORD E,1924,collaborate
768,CAMPBELL NR,DE BROGLIE M,1924,collaborate
769,CAMPBELL NR,MILLIKAN RA,1924,collaborate
770,CAMPBELL NR,ONNES HK,1924,collaborate
771,CAMPBELL NR,WEISS P,1924,collaborate
772,CAMPBELL NR,BRILLOUIN L,1924,collaborate
773,CAMPBELL NR,BRAGG WH,1924,collaborate
774,CAMPBELL NR,DE HAAS WJ,1924,collaborate
775,CAMPBELL NR,BOHR N,1924,collaborate
776,CAMPBELL NR,EHRENFEST P,1924,collaborate
777,LORENTZ HA,RUTHERFORD E,1924,collaborate
778,LORENTZ HA,DE BROGLIE M,1924,collaborate
779,LORENTZ HA,MILLIKAN RA,1924,collaborate
780,LORENTZ HA,ONNES HK,1924,collaborate
781,LORENTZ HA,WEISS P,1924,collaborate
782,LORENTZ HA,BRILLOUIN L,1924,collaborate
783,LORENTZ HA,BRAGG WH,1924,collaborate
784,LORENTZ HA,DE HAAS WJ,1924,collaborate
785,LORENTZ HA,BOHR N,1924,collaborate
786,LORENTZ HA,EHRENFEST P,1924,collaborate
787,RUTHERFORD E,DE BROGLIE M,1924,collaborate
788,RUTHERFORD E,MILLIKAN RA,1924,collaborate
789,RUTHERFORD E,ONNES HK,1924,collaborate
